# x = Q_z [nm-1]
# y = reflectivity [1] -> percentage
# x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6
1.0048 0.996 1.0048 0.971 1.0028 0.972 1.0028 0.991 1.0028 0.993 1.0028 0.976
1.0553 0.983 1.0533 0.972 1.0533 0.975 1.0533 0.978 1.0573 0.974 1.0533 0.975
1.1057 1 1.1037 0.995 1.1077 0.976 1.1077 0.974 1.1077 0.971 1.1077 0.978
1.1541 0.991 1.1541 0.991 1.1582 0.971 1.1582 0.97 1.1582 0.973 1.1582 0.981
1.2046 0.993 1.2086 0.977 1.2086 0.952 1.2086 0.96 1.2086 0.969 1.2086 0.947
1.2591 0.972 1.2591 0.976 1.2591 0.931 1.2591 0.954 1.257 0.938 1.2591 0.957
1.3095 0.967 1.3095 0.954 1.3075 0.945 1.3075 0.957 1.3075 0.937 1.3075 0.94
1.3599 0.98 1.3579 0.961 1.3579 0.947 1.3579 0.935 1.3579 0.94 1.3579 0.934
1.4104 0.994 1.4084 0.963 1.4084 0.93 1.4084 0.954 1.4064 0.923 1.4084 0.927
1.4588 0.966 1.4588 0.956 1.4568 0.935 1.4568 0.916 1.4568 0.928 1.4568 0.911
1.5093 0.967 1.5093 0.947 1.5072 0.938 1.5072 0.934 1.5072 0.93 1.5072 0.91
1.5597 0.969 1.5577 0.957 1.5577 0.92 1.5577 0.938 1.5617 0.912 1.5577 0.905
1.6101 0.974 1.6081 0.942 1.6122 0.895 1.6122 0.916 1.6122 0.896 1.6122 0.886
1.6586 0.978 1.6687 0.947 1.6626 0.895 1.6626 0.909 1.6626 0.902 1.6626 0.896
1.709 0.972 1.713 0.935 1.713 0.879 1.713 0.907 1.713 0.898 1.713 0.873
1.7635 0.972 1.7635 0.937 1.7615 0.895 1.7615 0.888 1.7615 0.887 1.7615 0.882
1.8139 0.971 1.8139 0.944 1.8119 0.891 1.8119 0.892 1.8119 0.892 1.8119 0.882
1.8644 0.973 1.8624 0.936 1.8624 0.892 1.8624 0.864 1.8624 0.872 1.8624 0.861
1.9148 0.963 1.9128 0.921 1.9128 0.876 1.9128 0.891 1.9108 0.889 1.9128 0.839
1.9632 0.956 1.9632 0.924 1.9612 0.896 1.9612 0.895 1.9612 0.878 1.9612 0.812
2.0137 0.966 2.0117 0.92 2.0117 0.892 2.0117 0.88 2.0117 0.872 2.0117 0.799
2.0641 0.875 2.0621 0.909 2.0621 0.893 2.0621 0.879 2.0661 0.86 2.0621 0.795
2.1126 0.694 2.1126 0.927 2.1166 0.856 2.1166 0.857 2.1166 0.86 2.1166 0.791
2.163 0.426 2.167 0.916 2.167 0.864 2.167 0.854 2.167 0.845 2.167 0.819
2.2134 0.224 2.2175 0.911 2.2175 0.876 2.2175 0.855 2.2155 0.848 2.2175 0.827
2.2679 0.116 2.2679 0.899 2.2659 0.88 2.2659 0.837 2.2659 0.848 2.2659 0.83
2.3184 0.072 2.3184 0.917 2.3163 0.845 2.3163 0.845 2.3163 0.842 2.3163 0.818
2.3688 0.066 2.3668 0.888 2.3668 0.86 2.3668 0.86 2.3668 0.837 2.3668 0.811
2.4192 0.061 2.4172 0.894 2.4172 0.853 2.4172 0.83 2.4152 0.837 2.4172 0.804
2.4677 0.03 2.4677 0.892 2.4657 0.853 2.4657 0.848 2.4657 0.835 2.4657 0.81
2.5161 0.01 2.5161 0.897 2.5161 0.845 2.5161 0.843 2.5161 0.834 2.5161 0.804
2.5665 0.001 2.5665 0.882 2.5706 0.84 2.5706 0.829 2.5706 0.828 2.5706 0.803
2.617 0 2.617 0.872 2.621 0.843 2.621 0.826 2.6271 0.827 2.621 0.794
2.6715 0 2.6715 0.887 2.6715 0.836 2.6715 0.832 2.6715 0.818 2.6715 0.793
2.7219 0 2.7219 0.898 2.7219 0.847 2.7219 0.827 2.7199 0.819 2.7219 0.789
2.7723 0 2.7723 0.885 2.7703 0.846 2.7703 0.817 2.7703 0.815 2.7703 0.788
2.8208 0 2.8208 0.882 2.8208 0.841 2.8208 0.819 2.8208 0.807 2.8208 0.783
2.8712 0 2.8712 0.873 2.8712 0.825 2.8712 0.804 2.8712 0.802 2.8712 0.773
2.9277 0 2.9277 0.872 2.9217 0.83 2.9217 0.808 2.9196 0.804 2.9217 0.763
2.9721 0 2.9721 0.881 2.9701 0.823 2.9701 0.801 2.9701 0.792 2.9701 0.767
3.0205 0 3.0205 0.874 3.0205 0.844 3.0205 0.808 3.0246 0.785 3.0205 0.771
3.071 0 3.071 0.858 3.075 0.828 3.075 0.793 3.075 0.787 3.075 0.766
3.1214 0 3.1214 0.78 3.1255 0.807 3.1255 0.795 3.1255 0.786 3.1255 0.769
3.1759 0 3.1759 0.493 3.1759 0.815 3.1759 0.805 3.1759 0.789 3.1759 0.751
3.2263 0 3.2263 0.229 3.2263 0.815 3.2263 0.797 3.2243 0.774 3.2263 0.737
3.2768 0 3.2768 0.087 3.2748 0.803 3.2748 0.783 3.2748 0.774 3.2748 0.744
3.3252 0 3.3252 0.047 3.3252 0.829 3.3252 0.793 3.3252 0.763 3.3252 0.743
3.3756 0 3.3756 0.034 3.3756 0.805 3.3756 0.79 3.3736 0.764 3.3756 0.732
3.4261 0 3.4261 0.026 3.4241 0.805 3.4241 0.775 3.4241 0.758 3.4241 0.733
3.4745 0 3.4745 0.02 3.4745 0.792 3.4745 0.781 3.4745 0.773 3.4745 0.715
3.525 0 3.525 0.015 3.525 0.802 3.525 0.786 3.529 0.754 3.525 0.717
3.5754 0 3.5754 0.01 3.5855 0.805 3.5794 0.767 3.5794 0.747 3.5794 0.714
3.6299 0 3.6299 0.005 3.6299 0.809 3.6299 0.782 3.6299 0.749 3.6299 0.715
3.6803 0 3.6803 0.001 3.6803 0.796 3.6803 0.778 3.6803 0.747 3.6803 0.705
3.7308 0 3.7308 0 3.7308 0.803 3.7308 0.739 3.7287 0.747 3.7308 0.705
3.7792 0 3.7792 0 3.7792 0.803 3.7792 0.763 3.7792 0.737 3.7792 0.688
3.8296 0 3.8296 0 3.8296 0.793 3.8296 0.759 3.8296 0.741 3.8296 0.685
3.8801 0 3.8801 0 3.8801 0.797 3.8801 0.768 3.8781 0.729 3.8801 0.681
3.9305 0 3.9305 0 3.9285 0.802 3.9285 0.762 3.9285 0.732 3.9285 0.681
3.9789 0 3.9789 0 3.9789 0.785 3.9789 0.744 3.9789 0.721 3.9789 0.68
4.0294 0 4.0294 0 4.0294 0.783 4.0294 0.746 4.0334 0.717 4.0294 0.672
4.0839 0 4.0839 0 4.0839 0.62 4.0839 0.759 4.0839 0.726 4.0839 0.662
4.1343 0 4.1343 0 4.1343 0.343 4.1343 0.739 4.1343 0.711 4.1343 0.66
4.1848 0 4.1848 0 4.1848 0.137 4.1848 0.717 4.1827 0.706 4.1848 0.667
4.2332 0 4.2332 0 4.2332 0.045 4.2332 0.73 4.2332 0.706 4.2332 0.663
4.2836 0 4.2836 0 4.2836 0.022 4.2836 0.734 4.2836 0.704 4.2836 0.65
4.3341 0 4.3341 0 4.3341 0.016 4.3341 0.729 4.3341 0.696 4.3341 0.639
4.3845 0 4.3845 0 4.3845 0.015 4.3845 0.71 4.3825 0.69 4.3845 0.637
4.4329 0 4.4329 0 4.4329 0.015 4.4329 0.717 4.4329 0.683 4.4329 0.628
4.4834 0 4.4834 0 4.4834 0.01 4.4834 0.702 4.4834 0.685 4.4834 0.632
4.5338 0 4.5338 0 4.5338 0.008 4.5338 0.715 4.5379 0.688 4.5338 0.634
4.5883 0 4.5883 0 4.5883 0.007 4.5883 0.714 4.5883 0.68 4.5883 0.619
4.6387 0 4.6387 0 4.6387 0.006 4.6387 0.706 4.6387 0.673 4.6387 0.624
4.6892 0 4.6892 0 4.6892 0.005 4.6892 0.705 4.6872 0.683 4.6892 0.621
4.7376 0 4.7376 0 4.7376 0.004 4.7376 0.712 4.7376 0.677 4.7376 0.606
4.7881 0 4.7881 0 4.7881 0.003 4.7881 0.704 4.7881 0.668 4.7881 0.602
4.8385 0 4.8385 0 4.8385 0.002 4.8385 0.71 4.8385 0.667 4.8385 0.593
4.8889 0 4.8889 0 4.8889 0.001 4.8889 0.708 4.8869 0.666 4.8889 0.585
4.9374 0 4.9374 0 4.9374 0 4.9374 0.704 4.9374 0.669 4.9374 0.585
4.9878 0 4.9878 0 4.9878 0 4.9878 0.688 4.9918 0.669 4.9878 0.589
5.0423 0 5.0423 0 5.0423 0 5.0423 0.697 5.0423 0.662 5.0423 0.586
5.0927 0 5.0927 0 5.0927 0 5.0927 0.66 5.0927 0.66 5.0927 0.579
5.1432 0 5.1432 0 5.1432 0 5.1432 0.431 5.1432 0.66 5.1432 0.587
5.1936 0 5.1936 0 5.1936 0 5.1936 0.138 5.1916 0.655 5.1936 0.57
5.242 0 5.242 0 5.242 0 5.242 0.035 5.242 0.644 5.242 0.555
5.2925 0 5.2925 0 5.2925 0 5.2925 0.016 5.2925 0.64 5.2925 0.547
5.3429 0 5.3429 0 5.3429 0 5.3429 0.012 5.3429 0.642 5.3429 0.543
5.3914 0 5.3914 0 5.3914 0 5.3914 0.009 5.3914 0.639 5.3914 0.549
5.4418 0 5.4418 0 5.4418 0 5.4418 0.009 5.4418 0.63 5.4418 0.542
5.4922 0 5.4922 0 5.4922 0 5.4922 0.009 5.4519 0.64 5.4922 0.529
5.5467 0 5.5467 0 5.5467 0 5.5467 0.007 5.5467 0.631 5.5467 0.548
5.6032 0 5.6032 0 5.6032 0 5.6032 0.006 5.6032 0.625 5.5972 0.564
5.6476 0 5.6476 0 5.6476 0 5.6476 0.005 5.6476 0.633 5.6476 0.538
5.696 0 5.696 0 5.696 0 5.696 0.004 5.696 0.637 5.698 0.523
5.7021 0 5.7021 0 5.7021 0 5.7021 0.003 5.7021 0.633 5.7465 0.513
5.7969 0 5.7969 0 5.7969 0 5.7969 0.002 5.7969 0.622 5.7969 0.532
5.8453 0 5.8453 0 5.8453 0 5.8453 0.001 5.8453 0.614 5.8474 0.531
5.8958 0 5.8958 0 5.8958 0 5.8958 0 5.8958 0.611 5.8958 0.528
5.9462 0 5.9462 0 5.9462 0 5.9462 0 5.9462 0.61 5.9462 0.532
6.0007 0 6.0007 0 6.0007 0 6.0007 0 6.0007 0.626 5.9967 0.521
6.0511 0 6.0511 0 6.0511 0 6.0511 0 6.0511 0.622 6.0511 0.521
6.0633 0 6.0633 0 6.0633 0 6.0633 0 6.0633 0.622 6.1016 0.516
6.152 0 6.152 0 6.152 0 6.152 0 6.152 0.345 6.152 0.519
6.2005 0 6.2005 0 6.2005 0 6.2005 0 6.2005 0.142 6.2005 0.508
6.2509 0 6.2509 0 6.2509 0 6.2509 0 6.2509 0.038 6.2509 0.514
6.261 0 6.261 0 6.261 0 6.261 0 6.261 0.033 6.3013 0.513
6.3498 0 6.3498 0 6.3498 0 6.3498 0 6.3498 0.009 6.3518 0.513
6.4002 0 6.4002 0 6.4002 0 6.4002 0 6.4002 0.007 6.4002 0.521
6.4507 0 6.4507 0 6.4507 0 6.4507 0 6.4507 0.007 6.4507 0.515
6.5011 0 6.5011 0 6.5011 0 6.5011 0 6.5011 0.005 6.5011 0.5
6.5556 0 6.5556 0 6.5556 0 6.5556 0 6.5556 0.004 6.5556 0.518
6.606 0 6.606 0 6.606 0 6.606 0 6.606 0.003 6.606 0.519
6.6565 0 6.6565 0 6.6565 0 6.6565 0 6.6565 0.002 6.6565 0.515
6.7049 0 6.7049 0 6.7049 0 6.7049 0 6.7049 0.001 6.7049 0.509
6.7553 0 6.7553 0 6.7553 0 6.7553 0 6.7553 0 6.7553 0.509
6.8058 0 6.8058 0 6.8058 0 6.8058 0 6.8058 0 6.8058 0.507
6.8562 0 6.8562 0 6.8562 0 6.8562 0 6.8562 0 6.8562 0.514
6.9046 0 6.9046 0 6.9046 0 6.9046 0 6.9046 0 6.9046 0.511
6.9551 0 6.9551 0 6.9551 0 6.9551 0 6.9551 0 6.9551 0.497
7.0055 0 7.0055 0 7.0055 0 7.0055 0 7.0055 0 7.0055 0.342
7.06 0 7.06 0 7.06 0 7.06 0 7.06 0 7.06 0.122
7.1105 0 7.1105 0 7.1105 0 7.1105 0 7.1105 0 7.1105 0.029
7.1609 0 7.1609 0 7.1609 0 7.1609 0 7.1609 0 7.1609 0.009
7.2093 0 7.2093 0 7.2093 0 7.2093 0 7.2093 0 7.2093 0.007
7.2598 0 7.2598 0 7.2598 0 7.2598 0 7.2598 0 7.2598 0.005
7.3102 0 7.3102 0 7.3102 0 7.3102 0 7.3102 0 7.3102 0.005
7.3606 0 7.3606 0 7.3606 0 7.3606 0 7.3606 0 7.3606 0.004
7.4091 0 7.4091 0 7.4091 0 7.4091 0 7.4091 0 7.4091 0.005
8 0 8 0 8 0 8 0 8 0 8 0.002
8.48 0 8.48 0 8.48 0 8.48 0 8.48 0 8.48 0.001
           
           
total 131 lines above        
