# x = Q_z [nm-1] 
# y = reflectivity [1] -> percentage 
# x6 y6
1.0028 0.976
1.0533 0.975
1.1077 0.978
1.1582 0.981
1.2086 0.947
1.2591 0.957
1.3075 0.94
1.3579 0.934
1.4084 0.927
1.4568 0.911
1.5072 0.91
1.5577 0.905
1.6122 0.886
1.6626 0.896
1.713 0.873
1.7615 0.882
1.8119 0.882
1.8624 0.861
1.9128 0.839
1.9612 0.812
2.0117 0.799
2.0621 0.795
2.1166 0.791
2.167 0.819
2.2175 0.827
2.2659 0.83
2.3163 0.818
2.3668 0.811
2.4172 0.804
2.4657 0.81
2.5161 0.804
2.5706 0.803
2.621 0.794
2.6715 0.793
2.7219 0.789
2.7703 0.788
2.8208 0.783
2.8712 0.773
2.9217 0.763
2.9701 0.767
3.0205 0.771
3.075 0.766
3.1255 0.769
3.1759 0.751
3.2263 0.737
3.2748 0.744
3.3252 0.743
3.3756 0.732
3.4241 0.733
3.4745 0.715
3.525 0.717
3.5794 0.714
3.6299 0.715
3.6803 0.705
3.7308 0.705
3.7792 0.688
3.8296 0.685
3.8801 0.681
3.9285 0.681
3.9789 0.68
4.0294 0.672
4.0839 0.662
4.1343 0.66
4.1848 0.667
4.2332 0.663
4.2836 0.65
4.3341 0.639
4.3845 0.637
4.4329 0.628
4.4834 0.632
4.5338 0.634
4.5883 0.619
4.6387 0.624
4.6892 0.621
4.7376 0.606
4.7881 0.602
4.8385 0.593
4.8889 0.585
4.9374 0.585
4.9878 0.589
5.0423 0.586
5.0927 0.579
5.1432 0.587
5.1936 0.57
5.242 0.555
5.2925 0.547
5.3429 0.543
5.3914 0.549
5.4418 0.542
5.4922 0.529
5.5467 0.548
5.5972 0.564
5.6476 0.538
5.698 0.523
5.7465 0.513
5.7969 0.532
5.8474 0.531
5.8958 0.528
5.9462 0.532
5.9967 0.521
6.0511 0.521
6.1016 0.516
6.152 0.519
6.2005 0.508
6.2509 0.514
6.3013 0.513
6.3518 0.513
6.4002 0.521
6.4507 0.515
6.5011 0.5
6.5556 0.518
6.606 0.519
6.6565 0.515
6.7049 0.509
6.7553 0.509
6.8058 0.507
6.8562 0.514
6.9046 0.511
6.9551 0.497
7.0055 0.342
7.06 0.122
7.1105 0.029
7.1609 0.009
7.2093 0.007
7.2598 0.005
7.3102 0.005
7.3606 0.004
7.4091 0.005
8 0.002
8.48 0.001
